"","SubNum","TrialNum","SatNum","FirstOrSecondPart","Accuracy","WhichPart","IsUnique","Confidence","NumberOfTimesCued","IsNovel","SessionNum","CueStyle","TestType","Cued"
"1",1,1,21,1,1,4,0,0,0,1,1,"uncued","novel",-1
"2",1,1,21,2,NA,0,0,0,0,1,1,"uncued","novel",-1
"3",1,2,15,1,1,5,1,0,0,0,1,"uncued","unique",-1
"4",1,2,15,2,0,4,0,0,0,0,1,"uncued","shared",-1
"5",1,3,2,1,1,5,0,0,6,0,1,"blocked","shared",1
"6",1,3,2,2,1,3,0,0,6,0,1,"blocked","shared",1
"7",1,4,15,1,0,2,0,0,0,0,1,"uncued","shared",-1
"8",1,4,15,2,0,4,0,0,0,0,1,"uncued","shared",-1
"9",1,5,10,1,1,1,0,0,3,0,1,"interleaved","shared",1
"10",1,5,10,2,1,2,0,0,3,0,1,"interleaved","shared",1
"11",1,6,20,1,0,5,0,0,0,1,1,"uncued","novel",-1
"12",1,6,20,2,NA,0,0,0,0,1,1,"uncued","novel",-1
"13",1,7,8,1,1,3,0,0,3,0,1,"interleaved","shared",1
"14",1,7,8,2,0,4,0,0,3,0,1,"interleaved","shared",1
"15",1,8,19,1,0,4,0,0,0,1,1,"interleaved","novel",1
"16",1,8,19,2,NA,0,0,0,0,1,1,"interleaved","novel",1
"17",1,9,1,1,0,4,0,0,10,0,1,"blocked","shared",1
"18",1,9,1,2,0,5,0,0,10,0,1,"blocked","shared",1
"19",1,10,24,1,0,5,0,0,0,1,1,"blocked","novel",1
"20",1,10,24,2,NA,0,0,0,0,1,1,"blocked","novel",1
"21",1,11,1,1,0,4,0,0,10,0,1,"blocked","shared",1
"22",1,11,1,2,0,5,0,0,10,0,1,"blocked","shared",1
"23",1,12,10,1,0,4,0,0,3,0,1,"interleaved","shared",1
"24",1,12,10,2,0,5,1,0,3,0,1,"interleaved","unique",1
"25",1,13,12,1,0,5,0,0,0,0,1,"uncued","shared",-1
"26",1,13,12,2,0,3,0,0,0,0,1,"uncued","shared",-1
"27",1,14,17,1,1,5,0,0,0,1,1,"interleaved","novel",1
"28",1,14,17,2,NA,0,0,0,0,1,1,"interleaved","novel",1
